:0 청황 | :11 청태 니레 | :0 청황 | :0 청고 |  | :0 청태 | :0 청황 |  |  | :0 청황 니나 |  | :0 청황 니레 
 :0 남 |  | :0 청황 | :0 청태 니레 | :11 노 | :0 청고 느니-르 | :0 청황 |  |  |  |  |  
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 니나 |  | :0 청고 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 니나 | :11 니나* | :10 임 니레 :11 니나* 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 니나 |  | :0 청고 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 니나 | :11 니나* | :10 임 니레 :11 니나* 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 니나 |  | :0 청고 
 :0 청황 |  | :0 청고 | :0 청황 |  | :0 청고 | :0 청황 | :14 청고 :15 청황 | :0 청태 | :0 남 | :11 임 | :0 고 
 :0 남 | :11 청황 | :10 청태 :11 청고 | :0 청태 노니로 |  |  |  |  |  |  |  |  
 :0 청태 | :11 니나* | :10 청고 :15 노 | :0 청황 |  | :0 청태 니레 | :0 청임 |  | :10 청남 :15 노 | :0 청고 | :11 노라 | :0 청고 느니-르 
 :0 청황 |  |  |  |  |  | :0 청황 | :10 청태 :11 청황 | :10 남 :11 임 | :0 청태 | :10 청황 :11 청고 | :10 청태 :11 청황 
 :0 임 |  | :10 남 :11 임 | :0 청황 |  | :0 같은음표 나니나 | :0 임 | :11 니나* | :0 청황 | :0 남 | :0 - 흘림표 | :10 임 :11 고 
 :0 청태 |  | :10 청고 :11 느니 | :0 청임 떠이어표 |  |  |  |  |  |  | :11 니 | :10 청임 :15 노 
 :0 청태 |  | :10 청고 :15 노 | :0 청임 |  | :0 같은음표 니레 흘림표 | :0 청고 |  | :0 청임 | :0 청임 니레 |  | :0 청고 
 :0 청임 |  | :11 청고 | :0 청남 | :11 니 | :10 청남 :15 노 | :0 청고 |  | :0 청남 | :0 청임 | :10 - 미는표 :11 니 | :0 청고 
 :0 중청황 |  | :0 청남 | :0 청남 | :11 니 | :10 청남 :15 노 | :0 청고 |  | :0 청남 | :0 청남 |  | :0 같은음표 니레 
 :0 청임 | :10 - 미는표 :11 니 | :0 청고 | :0 청남 | :11 청임 | :0 청고 | :0 청고 | :11 청태 | :10 청고 :15 노 | :0 청황 | :11 청고 | :10 청태 :15 노 
 :0 남 | :14 청황 :15 청고 | :0 청태 | :0 청태 니레 | :11 노 | :0 청고 | :0 청태 |  | :10 청고 니레 :15 노 | :10 청황 :11 남 |  | :0 청황 
 :0 청태 니레 | :11 청고 | :10 청임 :11 청남 끊는표 | :0 청임 떠이어표 |  |  |  |  |  |  |  | 

:0 황 | :14 중 :15 태 | :10 황 :11 태 | :0 중 | :0 - 미는표 | :0 태 | :0 황 |  |  | :0 황 니나 |  |  
 :0 배남 | :11 황 | :0 배남 | :0 배임 | :11 황 | :0 배남 | :0 황 |  |  | :0 황 니나 |  |  
 :0 배남 | :0 - 루러표 | :0 태 | :0 태 |  | :0 고 니레 | :0 태 | :9 노 | :0 고 | :0 황 | :9 니 | :0 배남 
 :0 태 나니나 | :9 노 | :0 고 | :0 황 | :9 니 | :0 배남 | :0 태 나니나 | :9 노 | :0 고 미는표 | :0 황 |  |  
 :0 태 니레 |  | :0 고 | :0 임 니레 |  | :0 임 | :0 태 나니나 | :9 노 | :0 고 미는표 | :0 황 |  |  
 :0 태 니레 |  | :0 고 | :0 임 니레 |  | :0 임 | :0 고 |  | :0 임 니레 | :0 임 | :0 - 미는표 | :0 고 
 :0 임 | :0 - 미는표 | :0 고 | :0 남 |  | :0 남 | :0 고 |  | :0 남 니나 | :0 남 | :0 - 미는표 | :0 고 
 :0 청황 |  | :0 남 | :0 남 | :11 고 | :0 남 | :0 고 |  | :0 남 니나 | :0 남 | :0 - 미는표 | :0 고 
 :0 임 | :0 - 미는표 | :0 고 | :0 남 | :11 임 | :0 고 | :0 고 | :11 태 | :0 황 | :0 황 |  | :5 태 니나 :9 노 
 :0 배남 | :0 - 루러표 | :0 태 | :0 태 |  | :0 고 니나 | :0 태 | :11 황 | :0 고 | :0 황 | :9 니 | :0 배남 
 :0 태 니나 |  | :0 고 | :0 임 니나 |  |  |  |  |  |  | :11 태 시루표 | :0 고 
 :0 남 나니로 |  |  |  |  |  |  |  |  |  |  |  
 :0 임 |  |  | :0 남 | :0 임 | :0 남 니레 | :0 황 | :10 남 :11 임 | :0 고 | :0 황 | :11 배임 시루표 | :0 황 
 :0 임 |  |  | :0 남 | :0 임 | :0 남 니레 | :0 황 | :10 남 :11 임 | :0 고 | :0 황 | :11 배임 시루표 | :0 황 
 :0 임 |  |  | :0 남 | :0 임 | :0 남 니레 | :0 황 | :10 남 :11 임 | :0 고 | :0 황 | :11 배임 시루표 | :0 황 
 :0 임 |  |  | :0 남 | :0 임 | :10 남 니나 :11 임 | :0 고 |  | :0 남 니레 | :0 남 | :0 - 미는표 | :0 고 
 :0 청황 |  | :0 남 | :0 남 | :11 고 | :0 남 | :0 고 |  |  | :0 남 | :0 - 미는표 | :0 고 
 :0 임 | :0 - 미는표 | :0 고 | :0 남 | :11 임 | :0 고 | :0 고 | :11 태 | :0 황 | :0 황 |  | :5 태 니나 :9 노 
 :0 배남 | :0 - 루러표 | :0 태 | :0 태 |  | :0 고 니나 | :0 태 | :11 황 | :0 고 | :0 황 | :9 니 | :0 배남 
 :0 태 니레 |  | :0 고 | :0 임 니나 |  |  | :0 임 | :0 - 미는표 | :0 고 | :0 임 |  | :5 남 니나 :9 노 
 :0 고 |  | :0 태 | :0 황 | :9 니 | :0 배남 | :0 고 |  | :0 고 니나 | :0 태 |  | :0 고 니나 
 :10 임 :11 남 |  | :0 임 | :0 태 시루표 | :9 노 | :0 고 | :0 황 |  |  | :0 고 | :0 - 루러표 | :0 고 
 :0 배남 | :11 황 | :0 배남 | :0 배임 |  | :0 배남 니레 | :0 황 | :9 니 | :0 배남 | :0 태 |  | :0 황 
 :0 배남 | :11 황 | :0 배남 | :0 배임 |  | :0 배남 니나 | :0 태 |  |  | :0 태 | :9 노 | :0 배남 
 :0 태 |  |  |  |  | :0 고 | :0 고 니나 |  | :0 태 | :0 황 | :9 니 | :0 배남 
 :0 태 |  |  |  |  |  | :0 태 |  |  | :0 태 | :9 노 | :0 배남 
 :0 태 |  |  |  |  | :0 고 | :0 고 니나 |  | :0 태 | :0 황 | :9 니 | :0 배남 
 :0 황 | :9 니 | :0 배남 | :0 황 |  |  | :0 쉼표 |  |  |  |  |  
 :0 고 |  | :0 - 미는표 | :0 배남 | :11 황 | :0 배남 | :0 배임 |  | :0 배남 니레 | :0 황 | :9 니 | :0 배남 
 :0 태 |  | :0 태 니레 | :0 태 |  | :0 고 니나 | :0 태 | :9 노 | :0 고 | :0 황 |  |  
 :0 태 니레 |  | :0 고 | :0 임 니레 |  |  |  |  |  |  | :11 태 시루표 | :0 고 
 :0 태 니레 |  | :0 고 | :0 임 니레 |  | :5 - 미는표 :9 노 | :0 청황 |  |  | :0 청황 |  |  
 :10 임 :11 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 |  | :0 청황 
 :10 임 :11 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 |  | :0 청황 
 :10 임 :11 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 |  | :0 청황 
 :10 임 :11 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 |  | :0 청황 
 :10 임 :11 청황 | :0 쉼표 |  |  |  |  |  |  |  |  |  |  
  |  |  |  |  |  |  |  |  |  |  |  
 :0 남 |  | :9 노 | :0 청태 노네 |  |  |  |  |  |  |  |  
 :0 청황 | :0 청태 |  |  |  |  | :0 청황 |  | :0 청태 | :0 청황 |  | :0 청태 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 |  | :0 남 
 :0 임 |  | :5 남 :9 노 | :0 청황 |  | :0 남 | :0 임 |  | :0 청황 | :0 남 |  | :0 임 
 :0 태 니레 |  | :0 고 | :0 임 니레 |  |  |  |  |  |  |  |  
 :0 남 | :0 - 미는표 | :0 고 | :0 임 |  | :0 임 | :0 고 |  | :0 임 니레 | :0 임 | :0 - 미는표 | :0 고 
 :0 임 | :0 - 미는표 | :0 고 | :0 남 |  | :0 남 | :0 고 |  | :0 남 니나 | :0 임 | :0 - 미는표 | :0 고 
 :0 청황 |  | :0 남 | :0 남 | :11 고 | :0 남 | :0 고 |  | :0 남 니나 | :0 남 | :0 - 미는표 | :0 고 
 :0 임 | :0 - 미는표 | :0 고 | :0 남 | :11 임 | :0 고 | :0 고 | :11 태 | :0 황 | :0 황 |  | :5 태 니나 :9 노 
 :0 배남 | :11 황 | :0 태 | :0 태 |  | :0 고 시루표 | :0 태 | :9 노 | :0 고 | :0 황 | :9 니 | :0 배남 
 :0 태 니레 |  | :0 고 | :0 임 니레 |  |  |  |  |  |  |  | :0 쉼표

:0 황 |  |  |  |  |  | :0 황 | :11 배남 | :0 황 | :0 태 |  | :0 황 
 :0 배남 |  | :0 배남 니레 | :0 배임 |  | :0 배남 니레 | :0 황 | :0 - 미는표 | :0 배남 | :0 황 |  |  
 :0 배남 | :11 황 | :0 태 | :0 태 |  | :0 고 | :0 태 |  | :0 고 | :0 태 낮게 | :0 - 미는표 | :0 배남 
 :0 태 노니로 |  | :0 고 | :0 태 낮게 | :0 - 미는표 | :0 배남 | :0 태 노니로 |  | :0 고 | :0 태 낮게 | :0 - 미는표 | :0 배남 
 :0 태 니레 |  | :0 고 | :0 임 |  |  | :0 태 노니로 |  | :0 고 | :0 태 낮게 |  | :0 - 흘림표 
 :0 태 니레 |  | :0 고 | :0 임 |  |  | :0 고 |  | :0 임 |  | :0 - 미는표 | :0 고 
 :0 임 |  | :0 고 | :0 남 |  | :0 임 | :0 고 |  | :0 남 | :0 임 | :0 - 미는표 | :0 고 
 :0 청황 | :0 - 겹흘림표 | :0 남 | :0 남 |  | :0 남 | :0 고 |  | :0 남 | :0 남 | :11 임 | :0 남 
 :0 임 | :0 - 미는표 | :0 고 | :0 남 |  | :0 고 | :0 고 | :11 태 | :0 황 | :0 배남 |  |  
 :0 배남 | :11 황 | :0 태 | :0 태 |  | :0 고 | :0 태 |  | :0 고 | :0 태 낮게 | :0 - 미는표 | :0 배남 
 :0 태 |  | :10 고 :11 태 반길이표 | :0 임 |  | :0 고 | :0 태 |  | :10 고 :11 태 반길이표 | :0 임 |  | :0 고 
 :0 남 나니로 |  |  |  |  |  |  |  |  | :0 남 | :0 임 | :0 남 니레 
 :0 임 |  | :0 청황 | :0 남 | :0 임 | :0 남 니레 | :0 임 |  | :0 니레나 | :0 고 |  | :0 태 
 :0 임 |  | :0 청황 | :0 남 | :0 임 | :0 남 니레 | :0 임 |  | :0 니레나 | :0 고 |  | :0 태 
 :0 임 |  | :0 청황 | :0 남 | :0 임 | :0 남 니레 | :0 임 |  | :0 니레나 | :0 고 |  | :0 태 
 :0 임 |  | :0 청황 | :0 남 | :0 임 | :0 남 니레 | :0 고 |  | :0 남 | :0 임 |  | :0 고 
 :0 청황 | :0 - 겹흘림표 | :0 남 | :0 남 |  | :0 남 | :0 고 |  | :0 남 | :0 남 | :11 임 | :0 남 
 :0 임 | :0 - 미는표 | :0 고 | :0 남 |  | :0 고 | :0 고 | :11 태 | :0 황 | :0 배남 |  |  
 :0 배남 | :11 황 | :0 태 | :0 태 |  | :0 고 | :0 태 |  | :10 고 :11 태 반길이표 | :0 임 | :0 - 미는표 | :0 고 
 :0 태 |  | :10 고 덧길이표 :11 태 반길이표 | :0 임 |  |  | :0 임 | :0 - 미는표 | :0 고 | :10 임 :11 남 |  |  
 :0 고 | :11 임 | :0 고 | :0 황 |  |  | :0 고 | :11 임 | :0 고 | :0 태 |  | :0 고 
 :10 임 :11 남 |  |  | :0 고 | :11 태 | :0 고 | :0 황 |  |  | :0 고 | :11 태 | :0 고 
 :0 배남 | :11 황 | :0 배남 | :0 배임 | :11 황 | :0 배남 | :0 황 | :0 - 미는표 | :0 배남 | :0 황 |  |  
 :0 배남 |  | :0 황 끊는표 | :0 태 |  |  | :0 태 니레 |  |  |  |  |  
 :0 태 |  |  |  |  |  | :0 고 | :0 - 겹흘림표 | :0 태 | :0 배남 |  | :0 요성표 
 :0 태 |  |  |  |  | :10 고 :11 태 반길이표 | :0 임 | :0 - 미는표 | :0 고 | :0 태 |  |  
 :10 고 :11 남 |  |  | :0 고 |  | :0 태 | :10 고 :11 남 |  |  | :0 임 | :0 - 미는표 | :0 고 
 :0 남 |  |  | :0 태 |  |  | :0 태 |  | :0 임 | :0 고 |  | :0 태 
 :0 고 |  |  | :0 배남 | :11 황 | :0 배남 | :0 배임 | :11 황 | :0 배남 | :0 황 | :0 - 미는표 | :0 배남 
 :0 배남 | :11 황 | :0 태 | :0 태 |  | :0 고 | :0 태 |  | :0 고 | :0 태 낮게 | :0 - 미는표 | :0 배남 
 :0 태 |  | :10 고 덧길이표 :11 태 반길이표 | :0 임 | :0 - 미는표 | :0 고 | :0 태 |  | :10 고 덧길이표 :11 태 반길이표 | :0 임 | :0 - 미는표 | :0 고 
 :0 태 |  |  | :0 임 |  | :0 남 | :0 청황 |  |  |  |  |  
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 |  | :0 청태 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 |  | :0 청태 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 |  | :0 청태 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 |  | :0 청태 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 |  | :0 청태 
 :0 청황 |  | :0 청태 | :0 청황 |  | :0 청태 | :0 청황 |  | :0 청태 | :0 남 |  | :0 임 
 :0 남 |  |  | :0 청태 |  |  | :0 청태 |  |  |  |  |  
 :0 청태 |  |  |  |  |  | :0 청태 |  |  | :0 청황 |  | :0 청태 니레 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  |  |  |  
 :0 임 |  | :10 남 :11 임 반길이표 | :0 청황 |  |  | :0 임 | :14 남 :15 임 | :0 청황 | :0 남 | :0 - 흘림표 | :0 임 
 :0 태 |  | :10 고 :11 태 반길이표 | :0 임 | :0 - 미는표 | :0 고 | :0 태 |  | :10 고 덧길이표 :11 태 반길이표 | :0 임 | :0 - 미는표 | :0 고 
 :0 태 |  | :10 고 :11 태 반길이표 | :0 임 |  |  | :0 고 |  | :0 임 |  | :0 - 미는표 | :0 고 
 :0 임 | :0 - 미는표 | :0 고 | :0 남 |  | :0 임 흘림표 | :0 고 |  | :0 남 | :0 임 | :0 - 미는표 | :0 고 
 :0 청황 | :0 - 겹흘림표 | :0 남 | :0 남 |  | :0 남 | :0 고 |  | :0 남 | :0 남 | :11 임 | :0 남 
 :0 임 | :0 - 미는표 | :0 고 | :0 남 |  | :0 고 | :0 고 | :11 태 | :0 황 | :0 배남 |  |  
 :0 배남 | :11 황 | :0 태 | :0 태 |  | :0 고 | :0 태 |  | :0 고 | :0 태 낮게 | :0 - 미는표 | :0 배남 
 :0 태 |  | :10 고 덧길이표 :11 태 반길이표 | :0 임 | :0 - 미는표 | :0 고 | :0 태 |  | :10 고 덧길이표 :11 태 반길이표 | :0 임 |  | 

:0 배황 |  | :0 배태 | :0 배중 |  | :0 배태 | :0 배황 |  |  | :0 배황 |  | :0 배황 
 :0 하배남 |  |  | :0 하배임 |  | :0 하배남 | :0 배황 |  |  | :0 배황 |  | :0 배황 
 :0 하배남 |  | :0 배태 | :0 배고 |  | :0 배태 | :0 배임 |  | :0 배고 | :0 배황 |  | :0 하배남 
 :0 배태 |  | :0 배고 | :0 배황 |  | :0 하배남 | :0 배태 |  | :0 배고 | :0 배황 |  | :0 배황 
 :0 배태 |  | :0 배고 | :0 배임 |  | :0 배임 | :0 배태 |  | :0 배고 | :0 배황 |  | :0 배황 
 :0 배태 |  | :0 배태 | :0 배임 |  | :0 배임 | :0 배고 |  | :0 배임 | :0 배임 |  | :0 배고 
 :0 배임 |  | :0 배고 | :0 배남 |  | :0 배남 | :0 배고 |  | :0 배남 | :0 배남 |  | :0 배고 
 :0 황 |  | :0 배남 | :0 배남 | :11 배고 | :0 배남 | :0 배남 |  | :0 배고 | :0 배남 |  | :0 배고 
 :0 배태 |  | :0 배고 | :0 배남 |  | :0 배고 | :0 배태 |  | :0 배태 | :0 하배남 |  | :0 하배남 
 :0 배태 |  | :0 하배태 | :0 배태 |  | :0 배고 | :0 배태 |  | :0 하배태 | :0 배태 |  | :0 배태 
 :0 배고 |  | :0 배임 | :0 하배임 |  | :0 배임 | :0 배임 |  | :0 배태 | :0 하배남 |  | :0 배태 
 :0 배남 |  |  | :0 배남 |  |  | :0 배남 |  | :0 하배남 | :0 배남 |  | :0 배남 
 :0 배임 |  | :0 황 | :0 배남 |  | :0 배남 | :0 배임 |  | :0 배고 | :0 배태 |  | :0 배태 
 :0 배임 |  | :0 황 | :0 배남 |  | :0 배남 | :0 배임 |  | :0 배고 | :0 배태 |  | :0 배태 
 :0 배임 |  | :0 황 | :0 배남 |  | :0 배남 | :0 배임 |  | :0 배고 | :0 배태 |  | :0 배고 
 :0 배임 |  | :0 배고 | :0 배남 |  | :0 배남 | :0 배고 |  | :0 배남 | :0 배남 |  | :0 배고 
 :0 황 |  | :0 배남 | :0 배남 | :15 배고 | :0 배남 | :0 배남 |  | :0 배고 | :0 배남 |  | :0 배고 
 :0 배태 |  | :0 배고 | :0 배남 |  | :0 배고 | :0 배태 |  | :0 배태 | :0 하배남 |  | :0 하배남 
 :0 배태 |  | :0 하배태 | :0 배태 |  | :0 배고 | :0 배태 |  | :0 하배태 | :0 배태 |  | :0 배태 
 :0 배고 |  | :0 배임 | :0 하배임 |  | :0 배임 | :0 배임 |  | :0 배고 | :0 배남 |  | :0 배남 
 :0 배고 |  | :0 배남 | :0 배고 |  | :0 배남 | :0 배고 | :0 배남 |  | :0 배남 |  | :0 배고 
 :0 배남 |  | :0 배남 | :0 배고 |  | :0 배태 | :0 하배남 |  | :0 배태 |  | :15 배고 | :0 배태 
 :0 하배남 |  |  | :0 하배남 |  | :0 하배남 | :0 하배임 |  |  | :0 하배임 |  | :0 하배임 
 :0 하배남 |  |  | :0 배태 |  |  | :0 배태 |  |  | :0 배태 |  |  
 :0 배태 |  |  |  |  |  | :0 배태 |  |  | :0 배태 |  | :0 하배남 
 :0 배태 |  |  | :0 배태 |  |  | :0 배임 |  |  | :0 배태 |  | :0 배고 
 :0 배남 |  |  | :0 배고 |  | :0 배태 | :0 배고 | :15 배태 | :0 배고 | :0 배임 |  | :0 배고 
 :0 배태 |  | :0 배태 |  |  |  | :0 배태 |  |  | :0 배태 |  | :0 배태 
 :0 배고 |  |  | :0 하배남 |  |  | :0 하배남 |  |  | :0 배태 |  | :0 하배남 
 :0 배태 |  | :0 배태 |  |  |  | :0 배태 |  | :0 배임 | :0 하배남 | :0 하배임 |  
 :0 배태 |  |  | :0 배임 |  |  | :0 배태 |  |  | :0 배임 |  |  
 :0 배태 |  | :0 배태 | :0 배임 |  | :0 배임 | :0 황 |  |  | :0 배임 |  |  
 :0 황 |  |  |  |  |  | :0 황 |  |  | :0 황 |  |  
 :0 황 |  |  | :0 황 |  |  | :0 황 |  |  | :0 황 |  | :0 배임 
 :0 황 |  |  |  |  |  | :0 황 |  |  | :0 황 |  | :0 배임 
 :0 황 |  |  |  |  |  | :0 황 |  |  | :0 황 |  | :0 배임 
 :0 황 |  |  |  |  |  | :0 황 |  |  | :0 황 |  | :0 배임 
 :0 황 |  | :0 - 미는표 | :0 황 |  | :0 - 미는표 | :0 황 |  | :0 태 | :0 배남 | :0 배임 |  
 :0 태 |  | :0 태 |  |  |  | :0 태 |  |  | :0 태 |  | :0 황 
 :0 태 |  |  | :0 태 |  | :0 황 | :0 태 |  |  | :0 중 |  | :0 태 
 :0 황 |  | :0 황 |  |  |  | :0 황 |  |  | :0 황 |  |  
 :0 배임 |  |  | :0 황 |  |  | :0 황 |  | :0 태 | :0 배남 | :0 배임 |  
 :0 배태 |  |  | :0 배임 |  |  | :0 배태 |  |  | :0 배임 |  |  
 :0 배태 |  | :0 배태 | :0 배임 |  | :0 배임 | :0 배고 |  | :0 배임 | :0 배임 |  | :0 배고 
 :0 배임 |  | :0 배고 | :0 배남 |  | :0 배남 | :0 배고 |  | :0 배남 | :0 배남 |  | :0 배고 
 :0 황 |  | :0 배남 | :0 배남 | :15 배고 | :0 배남 | :0 배남 |  | :0 배고 | :0 배남 |  | :0 배고 
 :0 배태 |  | :0 배고 | :0 배남 |  | :0 배고 | :0 배태 |  | :0 배태 | :0 하배남 |  | :0 하배남 
 :0 배태 |  | :0 하배태 | :0 배태 |  | :0 배고 | :0 배태 |  | :0 하배태 | :0 배태 |  | :0 배태 
 :0 배고 |  |  | :0 배임 |  |  | :0 하배임 |  |  | :0 배임 |  | 

:0 하배황 |  | :0 배태 | :0 배중 |  | :0 배태 | :0 배황 |  |  | :0 배황 |  | :0 배황 
 :0 배태 |  | :0 하배남 |  |  | :0 하배남 | :0 배황 |  |  | :0 배황 |  | :0 배황 
 :0 하배남 |  | :0 배태 | :0 배고 |  | :0 배태 | :0 배임 |  | :0 배고 | :0 배황 |  | :0 하배남 
 :0 배태 |  | :0 배고 자출 | :0 배황 |  | :0 하배남 | :0 배태 |  | :0 배고 자출 | :0 배황 |  | :0 배황 
 :0 배태 |  | :0 배고 자출 | :0 배임 |  | :0 배임 | :0 배태 |  | :0 배고 자출 | :0 배황 |  |  
 :0 배태 |  | :0 배태 | :0 배임 |  | :0 배임 | :0 배고 |  | :0 배임 |  |  | :0 배고 자출 
 :0 배남 |  | :0 배고 자출 | :0 배태 |  | :0 배태 | :0 배고 |  | :0 배남 | :0 배임 |  | :0 배고 자출 
 :0 황 |  | :0 배남 | :0 배임 | :11 배고 자출 | :0 배남 | :0 배남 |  | :0 하배황 | :0 배남 |  | :0 배남 
 :0 하배남 |  |  | :0 하배남 |  | :0 하배남 | :0 배태 |  | :0 배태 | :0 하배남 |  | :0 하배남 
 :0 배태 |  | :0 하배황 | :0 배태 |  | :0 배고 자출 | :0 배태 | :15 배태 반길이표/덧길이표 | :0 하배황 | :0 배태 |  | :0 배고 자출 
 :0 하배황 |  |  | :0 배임 |  |  | :0 하배임 |  |  | :0 하배임 |  |  
 :0 하배황 |  | :0 배남 |  |  | :0 배남 | :0 하배황 |  | :0 배임 |  |  | :0 배임 
 :0 하배황 |  | :0 배남 |  |  | :0 배남 | :0 하배황 |  | :0 배임 |  |  | :0 배임 
 :0 하배황 |  | :0 배남 | :0 하배황 |  | :0 배임 | :0 하배황 |  | :0 배남 | :0 하배황 |  | :0 배임 
