:0 쉼표 |  |  |  |  |  |  |  | :9 니로나 | :10 청황 노니로 :11 청중 | :10 청임 떠이어표 :11 청무 | :0 청임 떠이어표 | :6 니나* :8 청중 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  | :0 청중 |  |  |  |  | :0 청임 | :6 노 :8 청무 느니-르 | :2 청중 :5 쉼표 :8 청중 |  |  |  |  |  |  |  | :1 청임 :3 청무 :9 니나* | :0 청임 떠이어표 | :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  | :0 중 |  |  |  |  | :0 황 노니로 | :2 - 농음표 :8 태 | :0 배임 흘림표 | :2 배중 :8 배임 | :0 태 나니로 | :2 태 :5 - 흘림표 :8 황 | :0 황 | :2 - 농음표 :8 태 | :0 중 |  | :2 배임 흘림표 :6 배무 끊는표 :8 황 | :2 중 :5 - 미는표 :8 태 흘림표 | :1 황 :3 중 :8 황 노니로 | :0 황 
 :2 배중 :5 배임 | :0 배임 | :0 황 미는표 | :1 배임 :3 배중 :8 배임 | :0 태 나니로 흘림표 | :2 황 :8 태 | :0 중 |  | :2 배임 :5 - 흘림표 :8 배무 끊는표 | :0 황 | :0 임 | :0 - 풀어내림표 | :2 임 니레 :5 중 | :0 황 노니로 | :0 태 나니로 | :5 - 흘림표 :8 황 | :1 황 :3 중 :8 - 미는표 | :0 황 노니로 | :2 황 :8 태 | :0 중 
  | :0 중 |  | :0 중 미는표 | :0 임 |  | :2 임 :5 무 :8 - 흘림표 | :2 임 :8 무 | :0 무 | :0 - 흘림표 | :0 임 | :0 - 풀어내림표 | :2 임 니레 :5 중 | :2 황 :8 태 | :0 중 |  | :2 임 니레 :5 - 흘림표 :8 중 | :0 황 노니로 | :2 황 :8 태 | :0 중 
  | :0 중 |  |  |  |  | :0 황 노니로 | :2 - 농음표 :8 태 | :0 배임 흘림표 | :2 배중 :8 배임 | :0 태 나니로 | :2 태 :5 - 흘림표 :8 황 | :0 황 | :2 - 농음표 :8 태 | :0 중 미는표 | :2 태 :5 - 흘림표 :8 황 | :2 중 :5 - 미는표 :8 태 | :2 임 :5 - 흘림표 :8 중 | :2 태 :5 - 흘림표 :8 황 | :12 황 :13 중 :11 황 노니로 
 :0 배임 |  | :0 황 |  |  | :0 - 미는표 | :0 배중 | :8 배임 | :0 태 | :0 - 흘림표 | :2 황 :8 태 | :0 황 니나 | :0 태 니레 흘림표 | :0 황 | :2 배임 :5 황 | :0 배임 노니로 | :0 중 | :0 배중 니나 |  | :2 태 :8 임 
  |  |  | :0 - 미는표 | :0 태 |  | :2 황 :8 태 | :0 황 니나 | :0 태 니레 | :0 황 미는표 | :1 배임 :3 배중 :8 배임 | :0 태 나니로 흘림표 | :0 황 | :2 - 농음표 :8 태 | :0 중 |  | :2 배임 흘림표 :8 배무 끊는표 | :0 황 | :2 황 :8 태 | :0 중 
  | :0 중 |  |  |  |  | :0 황 노니로 | :2 - 농음표 :8 태 | :0 배임 흘림표 | :2 배중 :8 배임 | :0 태 나니로 | :2 태 :5 - 흘림표 :8 황 | :2 황 :8 태 | :0 중 |  |  | :2 배임 흘림표 :6 배무 끊는표 :8 황 | :2 중 :5 - 미는표 :8 태 흘림표 | :2 배임 :5 - 흘림표 :8 배무 끊는표 | :0 황

 |  |  |  |  |  |  |  |  | :0 중 | :0 중 | :0 임 | :2 임 :8 중 | :0 황 | :0 중 
  | :0 중 |  |  |  |  | :0 임 |  | :0 중 |  |  |  |  |  | :0 중 | :0 - 미는표 | :0 황 | :0 황 |  | :0 중 
  | :0 중 |  |  | :0 임 | :0 - 미는표 | :0 태 |  | :0 중 미는표 | :0 황 | :0 배임 | :0 황 | :0 배임 | :0 황 | :0 중 |  | :0 배임 | :0 황 | :0 황 | :0 중 
  | :0 중 |  |  |  |  | :0 황 |  | :0 배임 | :0 배중 | :0 태 | :0 태 | :0 황 |  | :0 중 |  |  |  |  | :0 황 
 :2 임 :5 무 |  | :0 임 | :0 무 | :0 임 |  | :0 중 | :0 - 미는표 | :0 황 |  | :0 배임 | :0 배중 | :0 태 | :0 황 | :0 배임 | :0 배중 | :0 태 | :0 중 | :0 중 | :0 황 
 :2 임 :5 무 |  | :0 임 |  | :0 임 |  | :0 중 |  |  | :2 임 :5 무 |  |  | :0 임 |  |  | :0 중 | :0 임 | :0 황 | :0 황 | :0 중 
  | :0 중 |  |  |  |  | :0 중 |  | :5 중 |  | :0 배임 | :0 황 | :0 배임 | :0 황 | :0 중 |  | :0 배임 | :0 황 | :0 황 | :0 중 
  | :0 중 |  |  |  |  | :0 황 |  | :0 배임 | :0 배중 | :0 태 | :0 태 | :0 황 |  | :0 중 |  |  |  |  | :0 황 
 :0 배임 | :0 배임 | :0 황 | :0 배중 | :0 태 | :0 황 | :0 중 |  | :0 배임 | :0 황 | :0 임 |  | :0 중 | :0 황 | :0 태 |  | :0 중 미는표 | :0 황 | :0 황 | :0 중 
  | :0 중 |  | :0 중 미는표 | :0 임 |  | :0 무 | :2 임 :8 무 | :0 무 |  | :0 임 |  | :0 중 | :0 황 | :0 중 |  | :0 임 | :0 황 | :0 황 | :0 중 
  | :0 중 |  |  |  |  | :0 황 |  | :0 배임 | :0 배중 | :0 태 | :0 태 | :0 황 | :0 중 | :0 태 | :0 중 | :0 임 | :0 태 | :0 중 | :0 황 
 :0 배임 |  | :0 황 |  |  |  | :0 배중 |  | :0 태 |  | :0 황 | :0 황 | :0 태 | :0 황 | :0 황 | :0 배임 | :0 중 | :0 배중 |  | :2 태 :8 임 
  |  |  |  | :0 태 |  | :0 황 | :0 황 | :0 태 | :0 황 | :0 배중 | :0 태 | :0 황 |  | :0 중 |  | :0 배임 | :0 황 | :0 황 | :0 중 
  | :0 중 |  |  |  |  | :0 황 |  | :0 배임 | :0 배중 | :0 태 | :0 태 | :0 황 | :0 중 |  |  |  |  |  | :0 황
