 |  | :0 청협 | :8 청임 떠이어표 |  |  | :1 청임 :3 청무 | :9 니나* | :0 청임 떠이어표 |  |  | :6 노 :8 청무 느니-르 | :0 청중 | :8 느니 | :0 청임 떠이어표 | :8 니나* | :0 청중 |  | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 :9 니나* 
 :2 중 :5 무 |  | :0 무 | :5 - 미는표 :8 임 | :0 청황 |  | :0 임 서침표 | :9 니 | :2 협 흘림표 :5 황 | :8 협 흘림표 | :0 임 | :9 노 | :0 청황 |  | :0 임 서침표 | :9 노 | :0 무 | :2 겹요성표 | :0 임 서침표 | :8 임 서침표 
 :0 중 |  |  |  | :0 쉼표 |  | :1 황 :3 중 | :0 - 미는표 | :0 황 시루표 | :8 협 흘림표 | :0 배임 | :9 배임 | :0 황 | :0 - 루러표 | :0 중 |  | :0 쉼표 |  |  |  
 :2 임 :5 청황 |  | :5 임 서침표 :9 노 | :0 무 미는표 | :0 청황 |  | :0 임 서침표 | :2 중 니나 :8 협 흘림표 | :1 배임 :3 황 |  | :2 중 :5 임 서침표 |  | :0 임 | :2 중 니나 :8 협 흘림표 | :2 황 :8 협 | :0 - 흘림표 | :0 쉼표 |  |  |  
 :0 임 | :9 노 | :0 청황 |  | :0 청황 노니로 | :0 - 흘림표 | :0 무 | :5 - 미는표 :8 임 | :0 청황 | :0 - 흘림표 | :0 무 | :0 - 흘림표 | :0 협 | :5 - 미는표 :8 임 :9 노 | :0 청황 |  | :0 청황 노니로 |  | :0 임 서침표 | :8 임 서침표 
 :0 중 |  |  |  |  | :0 쉼표 |  |  |  |  | :0 임 | :9 노 | :0 청황 |  | :0 임 서침표 | :9 노 | :0 무 | :2 겹요성표 | :0 임 서침표 | :8 임 서침표 
 :0 중 |  |  |  | :0 쉼표 |  | :1 황 :3 중 | :0 - 미는표 | :0 황 시루표 | :8 협 흘림표 | :0 배임 | :9 배임 니나 | :0 황 | :0 - 루러표 | :0 중 |  | :0 쉼표 |  |  |  
 :0 임 | :9 노 | :0 청황 |  | :0 청황 노니로 | :0 - 흘림표 | :0 무 | :5 - 미는표 :8 임 | :0 청황 | :0 - 흘림표 | :0 무 | :0 - 흘림표 | :0 협 | :5 - 미는표 :8 임 :9 노 | :0 청황 |  | :0 청황 노니로 |  | :0 임 서침표 | :9 임 서침표 
 :0 중 | :9 니 | :0 협 | :0 - 흘림표 | :0 황 | :0 협 흘림표 | :0 쉼표 |  |  |  | :2 중 :5 임 서침표 | :8 임 서침표 | :0 중 | :8 협 흘림표 | :0 황 |  | :0 협 | :5 - 미는표 :8 임 :9 노 | :0 청황 |  
 :0 임 서침표 | :8 임 서침표 | :2 협 미는표 :5 중 미는표 |  | :0 중 |  | :0 임 서침표 | :0 - 미는표 | :2 협 미는표 :5 중 | :8 협 흘림표 | :0 황 | :0 - 루러표 | :0 중 | :2 - 미는표 :8 황 시루표 | :0 협 | :0 - 흘림표 | :0 쉼표 |  |  |  
 :0 임 | :9 노 | :0 청황 |  | :0 청황 노니로 | :0 - 흘림표 | :0 무 | :5 - 미는표 :8 임 | :0 청황 |  | :0 임 서침표 |  | :0 청황 |  | :0 청황 노니로 | :0 - 흘림표 | :0 무 | :0 - 미는표 | :2 협 흘림표 :5 황 | :8 협 흘림표 
 :0 임 | :9 노 | :0 청황 |  | :0 청황 노니로 | :0 - 흘림표 | :0 무 | :0 - 흘림표 | :0 쉼표 |  | :0 임 | :9 노 | :0 청황 |  | :0 청황 노니로 | :0 - 흘림표 | :0 무 | :2 겹요성표 | :0 임 서침표 | :8 임 서침표 
 :0 중 |  |  |  | :0 쉼표 |  | :0 협 니나 | :5 - 미는표 :8 임 :9 노 | :0 청황 |  | :0 임 서침표 | :8 임 서침표 | :0 중 |  |  |  | :0 쉼표 |  |  |  
 :2 중 :5 무 |  | :0 무 | :5 - 미는표 :8 임 | :0 청황 | :0 - 흘림표 | :0 무 | :2 겹요성표 | :0 임 서침표 |  | :0 협 | :2 - 미는표 :8 임 :9 노 | :0 청황 | :0 - 흘림표 | :0 무 | :0 - 흘림표 | :0 쉼표 |  |  |  
 :2 중 :5 임 서침표 |  |  | :2 - 흘림표 :6 노 :8 황 시루표 루러표 | :0 중 | :9 니 | :2 협 흘림표 :5 황 | :8 협 흘림표 | :0 임 | :0 - 미는표 | :2 협 미는표 :5 중 | :8 협 흘림표 | :0 황 | :0 - 루러표 | :0 중 |  | :0 쉼표 |  |  |  
 :2 중 :5 무 |  | :0 무 | :2 - 미는표 :8 임 | :0 청황 |  | :0 임 서침표 | :9 니 | :2 협 흘림표 :5 황 | :8 협 흘림표 | :0 임 | :9 노 | :0 청황 |  | :0 임 서침표 | :9 노 | :0 무 | :2 겹요성표 | :0 임 서침표 | :8 임 서침표 
 :0 중 |  |  |  | :0 쉼표 |  | :1 황 :3 중 | :2 - 미는표 :8 황 시루표 | :0 협 | :6 노 :8 배무 | :2 배임 :9 배임 시루표 | :0 황 | :2 협 니나 :5 - 흘림표 :8 황 | :0 - 루러표 | :0 중 |  | :0 쉼표 |  |  | 

:0 무 | :0 무 미는표 | :2 중 낮게 :5 - 미는표 :8 임 | :0 청황 |  | :0 - 흘림표 | :0 무 |  | :0 임 |  | :0 무 | :2 요성표 | :0 임 | :2 중 낮게 :5 - 미는표 :8 임 | :0 청황 |  | :0 무 | :2 요성표 | :2 임 :5 청황 | :0 - 미는표 
 :0 임 | :2 - 흘림표 :8 니나* | :0 중 |  |  |  | :0 중 | :8 임 | :0 청황 |  | :0 임 | :2 - 흘림표 :8 니나* | :0 중 |  |  | :0 임 | :2 무 :5 - 미는표 :8 청황 | :2 임 흘림표 :5 중 | :0 중 니나 | :0 임 
 :0 무 |  | :0 무 | :2 - 겹흘림표 :8 임 | :0 청황 |  | :0 임 |  | :0 중 낮게 | :0 - 흘림표 | :0 임 |  | :0 청황 | :0 - 잉어질표 | :0 임 |  | :2 무 :8 니 미는표 | :1 노 :3 니 :5 - 농음표 | :0 중 낮게 미는표 | :0 황 
 :0 중 |  | :0 중 니나 |  |  |  | :0 중 | :0 - 미는표 | :0 황 |  | :0 배임 |  | :0 황 | :8 니나* | :0 중 |  | :0 중 니나 |  |  | :0 임 
 :0 청황 |  | :0 임 | :0 무 미는표 | :0 청황 |  | :0 임 흘림표 | :2 중 :8 협 흘림표 | :0 황 |  | :0 임 |  | :0 임 니레 흘림표 | :2 중 :8 협 흘림표 | :0 황 | :2 협 :5 - 흘림표 :8 황 | :0 중 |  | :0 중 니나 |  
 :0 임 | :8 무 미는표 | :0 청황 |  |  |  | :1 청황 :3 청협 | :0 - 겹흘림표 | :0 청황 | :0 - 흘림표 | :0 무 | :0 - 미는표 | :0 중 낮게 | :5 - 미는표 :8 임 | :0 청황 |  |  | :0 - 잉어질표 | :0 임 | :2 - 흘림표 :8 니나* 
 :0 중 |  |  |  | :0 임 | :0 청황 | :2 무 :8 니 미는표 | :2 노 :5 니 | :0 청황 |  | :0 임 |  | :0 청황 | :0 - 잉어질표 | :0 임 |  | :2 무 :8 니 미는표 | :1 노 :3 니 :5 - 농음표 | :0 중 낮게 미는표 | :0 황 
 :0 중 |  | :0 중 니나 |  |  |  | :0 중 | :0 - 미는표 | :0 황 |  | :0 배임 |  | :0 황 | :8 니나* | :0 중 |  | :0 중 니나 |  |  | :0 임 
 :0 임 |  | :0 청황 |  | :0 청황 |  | :0 무 | :2 - 겹흘림표 :8 임 | :0 청황 |  | :0 무 | :0 - 미는표 | :0 중 낮게 | :5 - 미는표 :8 임 | :0 청황 |  | :0 청황 |  | :0 임 | :2 - 흘림표 :8 니나* 
 :0 중 |  | :0 중 | :8 니나* | :0 무 미는표 | :0 중 낮게 흘림표 | :2 임 :8 무 미는표 | :0 청황 | :0 - 미는표 | :1 임 :3 청황 | :0 임 |  | :2 임 흘림표 :5 중 | :8 협 흘림표 | :0 황 |  | :0 중 낮게 | :0 임 | :0 청황 | :0 - 잉어질표 
 :0 임 | :2 - 흘림표 :8 니나* | :0 중 |  |  |  | :0 임 | :0 - 흘림표 | :0 중 | :8 협 흘림표 | :0 황 | :2 - 농음표 :8 니나* | :0 중 |  |  |  | :2 중 니나 :8 임 | :0 청황 미는표 | :2 중 :8 임 | :0 무 흘림표 
 :0 임 |  | :0 청황 |  | :0 청황 | :0 - 겹흘림표 | :0 무 | :2 - 겹흘림표 :8 임 | :0 청황 |  | :0 임 |  | :0 청황 |  |  | :0 - 겹흘림표 | :0 무 | :0 - 미는표 | :0 중 낮게 | :0 - 흘림표 
 :0 임 |  | :0 청황 |  |  |  | :1 청황 :3 청협 |  | :0 청협 | :0 - 겹흘림표 | :0 청황 |  | :0 청협 | :0 - 겹흘림표 | :0 청황 |  | :0 무 | :2 요성표 | :0 임 | :5 - 흘림표 :8 니나* 
 :0 중 |  | :0 중 니나 |  |  |  | :0 중 낮게 | :5 - 미는표 :8 임 | :0 청황 |  | :0 임 |  |  | :2 - 흘림표 :8 니나* | :0 중 |  | :0 중 니나 |  |  | :0 임 
 :0 무 |  | :0 무 | :5 - 미는표 :8 임 | :0 청황 |  | :0 무 | :2 요성표 | :0 임 |  | :0 중 낮게 | :0 임 | :0 청황 | :0 - 겹흘림표 | :0 무 |  |  |  | :0 - 흘림표 | :0 임 
 :0 임 |  |  | :2 - 흘림표 :8 니나* | :0 중 |  | :2 협 흘림표 :5 황 |  | :0 임 | :0 - 흘림표 | :0 중 | :8 협 흘림표 | :0 황 | :8 니나* | :0 중 |  | :2 중 :6 임 :8 중 | :0 무 미는표 | :0 중 낮게 | :0 임 
 :0 무 |  | :0 무 | :2 - 겹흘림표 :8 임 | :0 청황 |  | :0 임 |  | :0 중 낮게 | :0 - 미는표 | :0 임 |  | :0 청황 | :0 - 잉어질표 | :0 임 |  | :0 무 | :2 요성표 | :0 중 낮게 미는표 | :0 황 
 :0 중 |  | :0 중 니나 |  |  |  | :0 중 | :0 - 미는표 | :0 황 |  | :0 배임 |  | :0 황 | :8 니나* | :0 중 |  | :0 중 니나 |  |  | :0 임

:0 무 | :0 무 | :2 협 :8 임 | :0 청황 |  |  | :0 무 |  | :0 임 |  | :0 무 | :0 겹요성표 | :0 임 | :2 협 :8 임 | :0 청황 |  | :0 무 | :0 겹요성표 | :0 청황 |  
 :0 임 |  | :0 중 |  |  |  | :0 중 | :8 임 | :0 청황 |  | :0 임 |  | :0 중 |  |  | :0 임 | :0 무 | :0 중 | :0 중 | :0 임 
 :0 무 |  | :0 무 |  | :0 청황 |  | :0 임 |  | :0 협 |  | :0 임 |  | :0 청황 |  | :0 임 |  | :0 무 | :0 겹요성표 | :0 협 | :0 황 
 :0 중 |  | :0 중 |  |  |  | :0 중 | :0 - 미는표 | :0 황 |  | :0 배임 |  | :0 황 |  | :0 중 |  | :0 중 |  |  | :0 임 
 :0 청황 |  | :0 임 | :0 무 미는표 | :0 청황 |  | :0 임 | :2 중 :8 협 | :0 황 |  | :0 임 |  | :0 임 | :2 중 :8 협 | :0 황 | :0 협 | :0 중 |  | :0 중 |  
 :0 임 |  | :0 청황 |  |  |  | :0 청협 |  | :0 청황 |  | :0 무 |  | :0 협 | :8 임 | :0 청황 |  |  |  | :0 임 |  
 :0 중 |  |  |  | :0 임 | :0 청황 | :0 무 | :0 겹요성표 | :0 청황 |  | :0 임 |  | :0 청황 |  | :0 임 |  | :0 무 | :0 겹요성표 | :0 협 | :0 황 
 :0 중 |  | :0 중 |  |  |  | :0 중 | :0 - 미는표 | :0 황 |  | :0 배임 |  | :0 황 |  | :0 중 |  | :0 중 |  |  | :0 임 
 :0 임 |  | :0 청황 |  | :0 청황 |  | :0 무 |  | :0 청황 |  | :0 무 |  | :0 협 | :8 임 | :0 청황 |  | :0 청황 |  | :0 임 |  
 :0 중 |  | :0 중 |  | :0 무 | :0 협 | :0 임 | :0 청황 |  | :0 청황 | :0 임 |  | :0 중 |  | :0 황 |  | :0 협 | :8 임 | :0 청황 |  
 :0 임 |  | :0 중 |  |  |  | :0 임 |  | :0 중 |  | :0 황 |  | :0 중 |  |  |  | :0 중 | :0 청황 미는표 | :0 중 | :0 무 
 :0 임 |  | :0 청황 |  | :0 청황 |  | :0 무 |  | :0 청황 |  | :0 임 |  | :0 청황 |  |  |  | :0 무 | :0 - 미는표 | :0 협 |  
 :0 임 |  | :0 청황 |  |  |  | :0 청협 |  | :0 청협 |  | :0 청황 |  | :0 청협 |  | :0 청황 |  | :0 무 | :0 겹요성표 | :0 임 |  
 :0 중 |  | :0 중 |  |  |  | :0 협 | :8 임 | :0 청황 |  | :0 임 |  |  |  | :0 중 |  | :0 중 |  |  | :0 임 
 :0 무 |  | :0 무 |  | :0 청황 |  | :0 무 | :0 겹요성표 | :0 임 |  | :0 협 | :8 임 | :0 청황 |  | :0 무 |  |  |  |  | :0 임 
 :0 임 |  |  |  | :0 중 |  | :0 황 |  | :0 임 |  | :0 중 |  | :0 황 |  | :0 중 |  | :0 중 | :0 무 미는표 | :0 협 | :0 임 
 :0 무 |  | :0 무 |  | :0 청황 |  | :0 임 |  | :0 협 |  | :0 임 |  | :0 청황 |  | :0 임 |  | :0 무 | :0 겹요성표 | :0 협 | :0 황 
 :0 중 |  | :0 중 |  |  |  | :0 중 | :0 - 미는표 | :0 황 |  | :0 배임 |  | :0 황 |  | :0 중 |  | :0 중 |  |  | :0 임
